Bank Code,Bank Name,SWIFT Code
16026000,Bhagawan Yuba Club,Not Available
16027000,Srijanatmak Mahila Batabaran Bikas,Not Available
16028000,Srijana Samudayeek Bikas Kendra,Not Available
16029000,Sreejana Bikas Kendra,Not Available
16030000,Gharelu Tatha Sana Uddhyog Sangh,Not Available
16031000,Grammen Chhetra Bikas Tatha Anusand,Not Available
16032000,"Adarsha Yubak Club, Bhaktapur",Not Available
16033000,Society Welfare Action Nepal (SWAN),Not Available
16034000,Social Upgrade in Progress of Educa,Not Available
16035000,Nepal Mahila Samudayeek Sewa Kendra,Not Available
16036000,Gramen Mahila Utsukta Bikas Manch,Not Available
16037000,Grameen Mahila Bikas Sanstha,Not Available
16038000,Ama Samaj Sangh,Not Available
16039000,"Grameen Mahila Utthan Kendra, Dang",Not Available
16040000,"Khurkot Yuba Club, Parbat",Not Available
16041000,Grameen sewa Nepal,Not Available
16042000,Nari Avudya Kendra,Not Available
16043000,Mahila Upakar Manch,Not Available
16044000,Chhimek Samaj Sewa Sanstha,Not Available
16045000,Sawabalamban Bikas Kendra,Not Available
16046000,Bikash Aayoiana Sewa Kendra (DEPROS,Not Available
16047000,Grameen Swayam Sebak Samaj,Not Available
